,datetime,func_name,run_time,start_cpu,end_cpu,start_ram_total,start_ram_available,start_ram_percent,start_ram_used,start_ram_free,start_ram_active,start_ram_inactive,start_ram_buffers,start_ram_cached,start_ram_shared,start_ram_slab,end_ram_total,end_ram_available,end_ram_percent,end_ram_used,end_ram_free,end_ram_active,end_ram_inactive,end_ram_buffers,end_ram_cached,end_ram_shared,end_ram_slab
0,2023-02-02 22:02:25.540502,plot_binomial,0.0201678276062011,10.3,34.8,16724439040,8176881664,51.1,7834177536,1470660608,2930929664,10504638464,664694784,6754906112,383746048,705040384,16724439040,8178733056,51.1,7832059904,1472512000,2930929664,10504904704,664694784,6755172352,384012288,705040384
0,2023-02-02 22:02:25.753629,plot_poisson,0.0208778381347656,42.4,29.2,16724439040,8168325120,51.2,7842336768,1462087680,2930933760,10515132416,664698880,6755315712,384143360,705175552,16724439040,8168300544,51.2,7842095104,1462063104,2930933760,10515398656,664698880,6755581952,384409600,705175552
0,2023-02-02 22:02:25.954829,plot_binomial_poisson,0.0172078609466552,32.1,27.3,16724439040,8152756224,51.3,7852023808,1446518784,2930933760,10530672640,664719360,6761177088,390025216,705175552,16724439040,8152526848,51.3,7852253184,1446289408,2930933760,10530672640,664719360,6761177088,390025216,705175552
0,2023-02-02 22:02:26.633138,plot_binomial,0.0208156108856201,24.5,34.8,16724439040,8137375744,51.3,7874056192,1431056384,2930966528,10539536384,664723456,6754603008,383107072,704991232,16724439040,8134369280,51.4,7875198976,1428049920,2930966528,10542465024,664723456,6756466688,384970752,704598016
0,2023-02-02 22:02:26.833301,plot_poisson,0.017552375793457,38.6,21.1,16724439040,8133017600,51.4,7878447104,1426653184,2930966528,10543190016,664731648,6754607104,383340544,704860160,16724439040,8132558848,51.4,7878676480,1426194432,2930966528,10543058944,664731648,6754836480,383569920,704860160
0,2023-02-02 22:02:27.017774,plot_binomial_poisson,0.0146324634552001,30.5,20.0,16724439040,8128217088,51.4,7883018240,1421852672,2930970624,10547425280,664731648,6754836480,383569920,704991232,16724439040,8129015808,51.4,7882219520,1422651392,2930970624,10547425280,664731648,6754836480,383569920,704991232
0,2023-02-02 22:02:27.719543,plot_solve_regulation,0.0162906646728515,24.3,27.8,16724439040,8120750080,51.4,7888080896,1414307840,2930982912,10558136320,664731648,6757318656,385974272,704864256,16724439040,8117813248,51.5,7889154048,1411371008,2930982912,10560532480,664731648,6759182336,387837952,704864256
0,2023-02-02 22:02:27.928670,plot_solve_regulation,0.0177071094512939,30.7,20.0,16724439040,8118345728,51.5,7890833408,1411887104,2930987008,10559827968,664735744,6756982784,385626112,705224704,16724439040,8118116352,51.5,7891062784,1411657728,2930987008,10559827968,664735744,6756982784,385626112,705224704
0,2023-02-02 22:02:30.089976,plot_binomial,0.0167398452758789,19.0,31.6,16724439040,8151662592,51.3,7844306944,1445040128,2931003392,10532896768,664739840,6770352128,398831616,705069056,16724439040,8152494080,51.3,7843475456,1445871616,2931003392,10532098048,664739840,6770352128,398831616,705069056
0,2023-02-02 22:02:30.290234,plot_poisson,0.0162980556488037,31.2,28.6,16724439040,8142393344,51.3,7853572096,1435762688,2931003392,10541215744,664748032,6770356224,398831616,705073152,16724439040,8142794752,51.3,7853170688,1436164096,2931003392,10541215744,664748032,6770356224,398831616,705073152
0,2023-02-02 22:02:30.501629,plot_binomial_poisson,0.0173039436340332,37.4,22.7,16724439040,8133685248,51.4,7862554624,1427046400,2931011584,10551754752,664748032,6770089984,398565376,705204224,16724439040,8133455872,51.4,7862784000,1426817024,2931011584,10551754752,664748032,6770089984,398565376,705204224
0,2023-02-02 22:02:32.236947,plot_binomial,0.02415132522583,18.5,57.7,16724439040,8153235456,51.2,7846744064,1446588416,2931027968,10531573760,664756224,6766350336,394825728,705073152,16724439040,8155525120,51.2,7846318080,1448878080,2931027968,10530508800,664764416,6764478464,392962048,705073152
0,2023-02-02 22:02:32.444194,plot_poisson,0.0176026821136474,29.3,16.7,16724439040,8145068032,51.3,7856775168,1438420992,2931027968,10538389504,664764416,6764478464,392962048,705073152,16724439040,8144592896,51.3,7857250304,1437945856,2931027968,10538389504,664764416,6764478464,392962048,705073152
0,2023-02-02 22:02:32.645060,plot_binomial_poisson,0.0164098739624023,30.2,17.6,16724439040,8136306688,51.4,7865290752,1429659648,2931027968,10547978240,664768512,6764720128,393195520,704942080,16724439040,8136077312,51.4,7865520128,1429430272,2931027968,10547978240,664768512,6764720128,393195520,704942080
0,2023-02-02 22:02:33.659615,plot_binomial,0.018080711364746,17.0,41.7,16724439040,8125374464,51.4,7876124672,1418588160,2931040256,10559827968,664784896,6764941312,393306112,705163264,16724439040,8123514880,51.4,7876120576,1416728576,2931040256,10561691648,664793088,6766796800,395169792,705163264
0,2023-02-02 22:02:33.856718,plot_poisson,0.0173597335815429,28.4,23.8,16724439040,8123314176,51.4,7877996544,1416507392,2931048448,10560438272,664793088,6765142016,393494528,705163264,16724439040,8124170240,51.4,7877140480,1417363456,2931048448,10560438272,664793088,6765142016,393494528,705163264
0,2023-02-02 22:02:34.047708,plot_binomial_poisson,0.0157999992370605,25.2,16.7,16724439040,8116305920,51.5,7885004800,1409499136,2931048448,10564620288,664793088,6765142016,393494528,705163264,16724439040,8116703232,51.5,7884607488,1409896448,2931048448,10564620288,664793088,6765142016,393494528,705163264
0,2023-02-02 22:02:34.490944,plot_binomial,0.0251965522766113,19.4,30.0,16724439040,8111943680,51.5,7889534976,1405075456,2931068928,10570731520,664793088,6765035520,393326592,704950272,16724439040,8112218112,51.5,7889260544,1405349888,2931068928,10570731520,664793088,6765035520,393326592,704950272
0,2023-02-02 22:02:34.685217,plot_poisson,0.0181748867034912,33.8,23.8,16724439040,8119894016,51.4,7881584640,1413025792,2931068928,10570788864,664801280,6765027328,393326592,704819200,16724439040,8121008128,51.4,7880470528,1414139904,2931068928,10570788864,664801280,6765027328,393326592,704819200
0,2023-02-02 22:02:34.881165,plot_binomial_poisson,0.017031192779541,27.8,22.7,16724439040,8115630080,51.5,7885606912,1408761856,2931068928,10570448896,664801280,6765268992,393564160,704851968,16724439040,8115400704,51.5,7885836288,1408532480,2931068928,10570448896,664801280,6765268992,393564160,704851968
0,2023-02-02 22:02:35.764734,plot_binomial,0.0230429172515869,15.9,44.8,16724439040,8116482048,51.5,7885287424,1409556480,2931077120,10569166848,664801280,6764793856,393035776,705212416,16724439040,8115593216,51.5,7884046336,1408667648,2931077120,10571350016,664801280,6766923776,395165696,705212416
0,2023-02-02 22:02:35.947604,plot_poisson,0.0160589218139648,29.9,16.7,16724439040,8119922688,51.4,7881814016,1412997120,2931077120,10566311936,664801280,6764826624,393068544,705081344,16724439040,8119922688,51.4,7881814016,1412997120,2931077120,10566311936,664801280,6764826624,393068544,705081344
0,2023-02-02 22:02:36.129552,plot_binomial_poisson,0.0159516334533691,24.0,11.8,16724439040,8118226944,51.5,7883497472,1411477504,2931081216,10565468160,664805376,6764658688,393072640,704950272,16724439040,8117411840,51.5,7884312576,1410662400,2931081216,10566266880,664805376,6764658688,393072640,704950272
0,2023-02-02 22:02:37.027027,plot_binomial,0.0171818733215332,14.4,40.0,16724439040,8123858944,51.4,7877857280,1416871936,2931081216,10565750784,664829952,6764879872,392794112,704823296,16724439040,8122884096,51.4,7878832128,1415897088,2931081216,10565484544,664829952,6764879872,392794112,704823296
0,2023-02-02 22:02:37.221353,plot_poisson,0.0165205001831054,33.9,28.6,16724439040,8122277888,51.4,7879299072,1415315456,2931093504,10565758976,664838144,6764986368,393195520,704921600,16724439040,8121962496,51.4,7879614464,1415000064,2931093504,10565758976,664838144,6764986368,393195520,704921600
0,2023-02-02 22:02:37.413582,plot_binomial_poisson,0.0154793262481689,30.8,6.2,16724439040,8118272000,51.5,7883526144,1411280896,2931118080,10566156288,664838144,6764793856,392962048,705085440,16724439040,8118272000,51.5,7883526144,1411280896,2931118080,10566201344,664838144,6764793856,392962048,705085440
0,2023-02-02 22:02:38.267848,plot_michaelis_menten1,0.0177280902862548,19.8,25.0,16724439040,8115130368,51.5,7886639104,1408081920,2931122176,10567626752,664838144,6764879872,393035776,705085440,16724439040,8115032064,51.5,7886737408,1407983616,2931122176,10567626752,664838144,6764879872,393035776,705085440
0,2023-02-02 22:02:40.492353,plot_michaelis_menten1,0.0230376720428466,13.8,40.0,16724439040,8160829440,51.2,7840915456,1453559808,2931134464,10526973952,664854528,6765109248,393052160,705085440,16724439040,8162004992,51.2,7839473664,1454735360,2931134464,10527588352,664858624,6765371392,393052160,705085440
0,2023-02-02 22:02:41.414991,plot_michaelis_menten1,0.0231404304504394,16.3,42.3,16724439040,8141852672,51.3,7859482624,1434513408,2931150848,10541916160,664858624,6765584384,393195520,704995328,16724439040,8140898304,51.3,7860436992,1433559040,2931150848,10543513600,664862720,6765580288,393461760,704995328
0,2023-02-02 22:02:47.430199,escapeCharacters,0.0002403259277343,66.7,0.0,16724439040,8179503104,51.1,7824125952,1471950848,2931220480,10520956928,664920064,6763442176,391176192,705372160,16724439040,8179503104,51.1,7824125952,1471950848,2931220480,10520956928,664920064,6763442176,391176192,705372160
0,2023-02-02 22:02:47.438602,getText_prep,0.0098404884338378,13.5,54.5,16724439040,8179503104,51.1,7824125952,1471950848,2931220480,10520690688,664920064,6763442176,391176192,705372160,16724439040,8178532352,51.1,7823233024,1470980096,2931220480,10524950528,664920064,6765305856,393039872,705372160
0,2023-02-02 22:02:48.890561,escapeCharacters,0.0001258850097656,100.0,0.0,16724439040,8172130304,51.1,7829278720,1464360960,2931253248,10529988608,664948736,6765850624,393359360,705138688,16724439040,8172130304,51.1,7829278720,1464360960,2931253248,10529988608,664948736,6765850624,393359360,705138688
0,2023-02-02 22:02:48.898658,getText_prep,0.0095901489257812,13.9,60.0,16724439040,8172130304,51.1,7829278720,1464360960,2931253248,10529722368,664948736,6765850624,393359360,705138688,16724439040,8172576768,51.1,7828832256,1464807424,2931253248,10529472512,664948736,6765850624,393359360,705138688
0,2023-02-02 22:02:48.908267,text_expander,0.000943899154663,50.0,0.0,16724439040,8172036096,51.1,7829372928,1464266752,2931253248,10529206272,664948736,6765850624,393359360,705138688,16724439040,8172036096,51.1,7829372928,1464266752,2931253248,10529206272,664948736,6765850624,393359360,705138688
0,2023-02-02 22:02:48.917519,text_expander,0.0012722015380859,22.2,0.0,16724439040,8170778624,51.1,7828504576,1463009280,2931253248,10530869248,664948736,6767976448,395485184,705138688,16724439040,8170778624,51.1,7828504576,1463009280,2931253248,10530869248,664948736,6767976448,395485184,705138688
0,2023-02-02 22:02:48.938971,ising,0.0108318328857421,40.0,41.7,16724439040,8170524672,51.1,7828758528,1462755328,2931253248,10531647488,664952832,6767972352,395485184,705138688,16724439040,8168976384,51.2,7830536192,1461207040,2931253248,10533154816,664952832,6767742976,395255808,705138688
0,2023-02-02 22:02:49.134454,plotSnapshots,0.1860678195953369,27.3,42.4,16724439040,8171610112,51.1,7830032384,1463840768,2931253248,10530758656,664952832,6765613056,393392128,705138688,16724439040,8169574400,51.2,7831744512,1461764096,2931257344,10532872192,664952832,6765977600,393752576,705142784
0,2023-02-02 22:02:49.395058,plotEnergy_magnetization,0.025360107421875,28.2,13.8,16724439040,8169476096,51.2,7831973888,1461661696,2931257344,10533359616,664952832,6765850624,393359360,705015808,16724439040,8170123264,51.1,7831326720,1462308864,2931257344,10533359616,664952832,6765850624,393359360,705015808
0,2023-02-02 22:02:49.569193,plotSusceptibility,0.014519453048706,31.6,17.6,16724439040,8168448000,51.2,7833001984,1460621312,2931261440,10534580224,664952832,6765862912,393359360,705015808,16724439040,8168218624,51.2,7833231360,1460391936,2931261440,10534580224,664952832,6765862912,393359360,705015808
0,2023-02-02 22:02:50.960005,escapeCharacters,0.0002021789550781,0.0,0.0,16724439040,8170184704,51.1,7831314432,1462259712,2931269632,10529374208,664956928,6765907968,393302016,704884736,16724439040,8170184704,51.1,7831314432,1462259712,2931269632,10529374208,664956928,6765907968,393302016,704884736
0,2023-02-02 22:02:50.971811,getText_prep,0.0135831832885742,15.3,23.1,16724439040,8170528768,51.1,7830970368,1462603776,2931269632,10529374208,664956928,6765907968,393302016,704884736,16724439040,8170184704,51.1,7831314432,1462259712,2931269632,10529374208,664956928,6765907968,393302016,704884736
0,2023-02-02 22:02:51.010224,percolation,0.0219037532806396,29.4,37.0,16724439040,8168337408,51.2,7831298048,1460412416,2931269632,10531237888,664956928,6767771648,395165696,704884736,16724439040,8168488960,51.2,7833010176,1460563968,2931269632,10529640448,664961024,6765903872,393302016,704884736
0,2023-02-02 22:02:51.105828,percolation,0.0007262229919433,0.0,66.7,16724439040,8158601216,51.2,7843127296,1450663936,2931269632,10541387776,664961024,6765686784,393072640,705146880,16724439040,8158601216,51.2,7843127296,1450663936,2931269632,10541387776,664961024,6765686784,393072640,705146880
0,2023-02-02 22:02:51.116234,percolation,0.0036823749542236,28.6,0.0,16724439040,8158601216,51.2,7843127296,1450663936,2931269632,10541387776,664961024,6765686784,393072640,705146880,16724439040,8158470144,51.2,7843160064,1450532864,2931269632,10541383680,664961024,6765785088,393170944,705409024
0,2023-02-02 22:02:51.130281,percolation,0.0073535442352294,33.3,25.0,16724439040,8158683136,51.2,7842947072,1450737664,2931269632,10541604864,664961024,6765793280,393170944,705409024,16724439040,8158539776,51.2,7843090432,1450594304,2931269632,10541604864,664961024,6765793280,393170944,705409024
0,2023-02-02 22:02:51.157548,percolation,0.0176098346710205,41.7,25.0,16724439040,8159506432,51.2,7842123776,1451560960,2931269632,10541604864,664961024,6765793280,393170944,705409024,16724439040,8154030080,51.2,7847833600,1446076416,2931269632,10546950144,664961024,6765568000,392937472,705409024
0,2023-02-02 22:02:51.194153,percolation,0.028541088104248,36.4,21.9,16724439040,8156364800,51.2,7845498880,1448411136,2931269632,10545885184,664961024,6765568000,392937472,705409024,16724439040,8152375296,51.3,7849467904,1444409344,2931277824,10541469696,664961024,6765600768,392962048,705150976
0,2023-02-02 22:02:51.214967,percolation_many_ps,0.1107585430145263,44.5,17.4,16724439040,8158601216,51.2,7843127296,1450663936,2931269632,10541387776,664961024,6765686784,393072640,705146880,16724439040,8151445504,51.3,7850397696,1443479552,2931277824,10541469696,664961024,6765600768,392962048,705150976
0,2023-02-02 22:02:51.369510,betheLattice,0.0387980937957763,29.4,16.3,16724439040,8151011328,51.3,7850565632,1441955840,2931281920,10543349760,664961024,6766956544,392962048,705150976,16724439040,8151773184,51.3,7849799680,1441652736,2931281920,10545750016,664961024,6768025600,392962048,704757760
0,2023-02-02 22:02:51.565983,betheLattice,0.0404233932495117,40.1,26.0,16724439040,8132902912,51.4,7863877632,1421639680,2931290112,10566492160,664961024,6773960704,397758464,704774144,16724439040,8132866048,51.4,7864123392,1421541376,2931298304,10566324224,664961024,6773813248,397549568,705040384
0,2023-02-02 22:02:51.757043,betheLattice,0.005770206451416,34.2,16.7,16724439040,8127127552,51.4,7869861888,1415737344,2931298304,10570084352,664961024,6773878784,397815808,704909312,16724439040,8127127552,51.4,7869861888,1415737344,2931298304,10570084352,664961024,6773878784,397815808,704909312
0,2023-02-02 22:02:51.984235,run_fractals,0.0431675910949707,46.8,22.4,16724439040,8128593920,51.4,7870717952,1417199616,2931298304,10569146368,664961024,6771560448,395485184,705040384,16724439040,8127176704,51.4,7871901696,1415782400,2931298304,10570387456,664961024,6771793920,395718656,704909312
0,2023-02-02 22:02:52.283642,fractal_dimension,0.08419370651245117,30.8,27.5,16724439040,8092327936,51.6,7906758656,1380741120,2931310592,10605535232,664961024,6771978240,395718656,705437696,16724439040,8094720000,51.6,7904600064,1383129088,2931310592,10602123264,664961024,6771748864,395485184,705044480
